City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Neiafu,11,TO,1603843403,79,-18.65,-173.98,297.59,7.2
Rikitea,100,PF,1603843177,83,-23.12,-134.97,297.28,7.13
Hermanus,100,ZA,1603843145,93,-34.42,19.23,289.26,0.89
Punta arenas,0,CL,1603843045,61,-53.15,-70.92,281.15,7.2
Nizwa,1,OM,1603843404,63,22.93,57.53,290.22,0.76
Westport,75,US,1603843159,54,41.14,-73.36,286.15,3.6
Vila velha,75,BR,1603843389,88,-20.33,-40.29,298.15,5.7
Cherskiy,100,RU,1603842861,92,68.75,161.3,263.14,3.97
Tasiilaq,100,GL,1603843165,91,65.61,-37.64,269.64,4.22
Kidodi,13,TZ,1603843405,85,-7.6,37,294.98,0.23
Faanui,71,PF,1603843143,82,-16.48,-151.75,299.68,7.94
Pforzheim,0,DE,1603843405,81,48.88,8.7,282.59,1
Kargasok,100,RU,1603843405,98,59.06,80.86,269.69,5.92
Bedesa,2,ET,1603843406,34,8.9,40.78,288.27,0.51
Klaksvik,82,FO,1603843034,87,62.23,-6.59,281.05,10.57
Husavik,90,IS,1603843227,59,66.04,-17.34,276.15,1.5
Esperance,66,AU,1603843164,100,-33.87,121.9,290.15,4.6
Honiara,20,SB,1603843406,74,-9.43,159.95,303.15,2.1
Iwakuni,85,JP,1603843245,37,34.15,132.18,288.71,0.71
Verkhnya syrovatka,25,UA,1603843407,66,50.83,34.96,281.17,4.27
Havre,40,FR,1603843321,87,49.58,0.33,285.15,7.2
Comodoro rivadavia,0,AR,1603843221,37,-45.87,-67.5,286.15,9.3
Bhuj,0,IN,1603843407,59,23.27,69.67,296.58,3.01
Avarua,100,CK,1603843408,78,-21.21,-159.78,296.15,3.1
Te anau,92,NZ,1603843169,54,-45.42,167.72,287.33,1.19
Camacupa,100,AO,1603843408,84,-12.02,17.48,291.8,3.02
Puerto ayora,99,EC,1603843149,94,-0.74,-90.35,293.15,1.79
Nanortalik,100,GL,1603843155,90,60.14,-45.24,272.27,1.9
Yumen,73,CN,1603843409,79,40.28,97.2,274.64,3.09
Warrington,40,GB,1603843399,87,53.39,-2.58,281.15,5.7
Karratha,60,AU,1603843409,68,-20.74,116.85,298.05,3.58
Manali,40,IN,1603843410,88,13.17,80.27,299.15,1.5
Leningradskiy,7,RU,1603843175,90,69.38,178.42,266.06,8.26
Yokadouma,100,CM,1603843410,95,3.52,15.05,294.25,0.46
Alofi,40,NU,1603843410,73,-19.06,-169.92,298.15,9.8
Okhotsk,1,RU,1603843228,82,59.38,143.3,271.83,3.5
Biltine,0,TD,1603843411,18,14.53,20.92,299.84,3.73
Gwadar,0,PK,1603843411,62,25.12,62.33,294.92,2.56
Hithadhoo,93,MV,1603842898,66,-0.6,73.08,301.83,4.81
Flinders,84,AU,1603843182,78,-34.58,150.86,292.59,0.45
Bengkulu,99,ID,1603843130,79,-3.8,102.27,298.12,1.48
Nemuro,75,JP,1603843197,76,43.32,145.57,283.15,1
Lohardaga,0,IN,1603843412,49,23.43,84.68,290.3,0.87
New norfolk,86,AU,1603843130,64,-42.78,147.06,287.59,0.45
Bara,0,NG,1603843412,32,10.37,10.73,297.44,2.14
Farah,0,AF,1603843413,56,32.5,62.5,278.6,1.54
Thompson,75,CA,1603843002,62,55.74,-97.86,269.15,3.6
Norman wells,40,CA,1603843158,79,65.28,-126.83,266.15,2.1
Lompoc,1,US,1603843173,40,34.64,-120.46,294.15,4.6
Katsuura,75,JP,1603842920,72,35.13,140.3,292.04,2.6
Georgetown,20,MY,1603842884,94,5.41,100.34,298.15,1.5
Evensk,0,RU,1603843161,80,61.95,159.23,270.55,4.32
Lasa,16,IT,1603843414,88,46.62,10.7,278.15,0.45
Santa cruz,0,BO,1603843414,46,-17.8,-63.17,299.95,3.26
Tabuk,100,PH,1603843151,80,17.42,121.44,299.1,0.36
Punta de piedra,71,VE,1603843415,91,7.62,-71.49,297.14,0.62
Talara,9,PE,1603843415,88,-4.58,-81.27,291.44,5.88
Tuy hoa,100,VN,1603843132,86,13.08,109.3,296.94,12.82
Akita,75,JP,1603843416,100,39.72,140.12,278.15,2.6
Tual,85,ID,1603843416,71,-5.67,132.75,302.04,4.83
Mayor pablo lagerenza,0,PY,1603843178,59,-19.93,-60.77,300.16,4.31
Mar del plata,0,AR,1603842860,71,-38,-57.56,288.15,3.98
Tiksi,27,RU,1603843164,90,71.69,128.87,253.83,5.63
Fortuna,1,US,1603843081,48,40.6,-124.16,291.48,4.6
Hobart,75,AU,1603843088,66,-42.88,147.33,287.59,4.1
Methoni,20,GR,1603843416,82,36.82,21.7,291.48,2.6
Anloga,40,GH,1603843417,88,5.79,0.9,300.15,1.5
Ulladulla,75,AU,1603842939,77,-35.35,150.47,290.15,4.6
Constitucion,5,CL,1603843155,74,-35.33,-72.42,282.92,3.87
Fredericton,90,CA,1603843121,64,45.95,-66.67,276.15,4.1
Kaitangata,2,NZ,1603842892,56,-46.28,169.85,285.91,2.98
Barrow,75,US,1603842889,63,71.29,-156.79,272.15,8.7
Vikhorevka,75,RU,1603843418,100,56.12,101.16,272.15,2
Yellowknife,75,CA,1603842869,67,62.46,-114.35,265.15,2.6
Sun city west,20,US,1603843228,16,33.66,-112.34,292.59,4.1
Garowe,8,SO,1603843170,69,8.41,48.48,295.67,2.88
Gambela,47,ET,1603843418,78,8.25,34.58,294.67,1.53
Slonim,87,BY,1603843419,93,53.09,25.32,283.39,3.38
Humberto de campos,1,BR,1603843419,86,-2.6,-43.46,297.8,2.56
Sao raimundo das mangabeiras,96,BR,1603843419,74,-7.02,-45.48,299.66,1.08
Saint george,1,US,1603843048,9,37.1,-113.58,289.15,3.1
La ronge,90,CA,1603843207,92,55.1,-105.28,270.15,4.1
Yerbogachen,81,RU,1603843282,97,61.28,108.01,264.91,2.16
Dikson,100,RU,1603843135,95,73.51,80.55,259.37,7.38
Sao mateus do sul,0,BR,1603843392,69,-25.87,-50.38,289.19,1.24
Sao joao da barra,71,BR,1603843420,89,-21.64,-41.05,296.77,6.83
Sao filipe,100,CV,1603843168,72,14.9,-24.5,300.37,2.29
Gisborne,100,NZ,1603843380,91,-38.65,178,285.37,0.76
Clayton,75,US,1603842700,78,33.53,-84.37,295.37,2.6
Non sang,100,TH,1603843421,91,16.87,102.57,295.76,1.51
Coihaique,90,CL,1603843421,93,-45.58,-72.07,278.15,3.6
Sabang,91,ID,1603843421,74,5.89,95.32,300.91,9.03
Asfi,0,MA,1603843168,70,32.3,-9.24,289.85,7.7
Atuona,2,PF,1603842880,74,-9.8,-139.03,299.19,8.67
Saldanha,100,ZA,1603843170,87,-33.01,17.94,288.15,1
Novyy urengoy,0,RU,1603843422,90,66.08,76.63,254.47,4.12
Minab,0,IR,1603843423,77,27.15,57.08,294.15,3.1
Gilbues,97,BR,1603843214,89,-9.83,-45.34,296.14,1.33
Fergus falls,75,US,1603843259,74,46.28,-96.08,271.48,7.7
Clyde river,20,CA,1603843155,66,70.47,-68.59,262.15,3.1
Formosa do rio preto,89,BR,1603843424,83,-11.05,-45.19,295.74,1.77
Sur,0,OM,1603843424,60,22.57,59.53,294.97,1.74
Lebu,98,CL,1603843424,82,-37.62,-73.65,283.55,5.5
Port hedland,40,AU,1603843198,69,-20.32,118.57,299.15,1
Ejura,92,GH,1603843424,84,7.39,-1.36,296.82,1.83
Kahului,40,US,1603843157,62,20.89,-156.47,303.15,4.1
Berberati,93,CF,1603843424,97,4.26,15.79,293.43,0.51
Asau,0,RO,1603843209,98,46.43,26.4,283.15,0.77
San cristobal,95,VE,1603843036,91,7.77,-72.22,293.31,0.22
Cidreira,98,BR,1603843149,84,-30.18,-50.21,290.86,5.22
Pangnirtung,0,CA,1603843425,76,66.15,-65.71,260.33,1.83
Shemysheyka,52,RU,1603843425,58,52.89,45.39,274.26,2.89
Williston,75,US,1603843291,87,48.15,-103.62,279.15,5.7
Laguna,1,US,1603842869,18,38.42,-121.42,297.04,1.5
Luderitz,13,NA,1603843176,78,-26.65,15.16,287.18,4.46
Juba,100,SS,1603843426,82,4.85,31.58,296.56,0.65
Mednogorsk,0,RU,1603843426,92,51.41,57.59,271.29,1.15
Deputatskiy,70,RU,1603843426,93,69.3,139.9,255.07,2.55
Corinto,42,GR,1603843426,60,37.94,22.96,288.15,0.37
Katherine,0,AU,1603843191,46,-14.47,132.27,305.15,1
Jamestown,90,US,1603842866,100,42.1,-79.24,278.15,1.56
Rebrikha,48,RU,1603843427,84,53.07,82.34,274.01,10.34
Ilulissat,71,GL,1603842911,89,69.22,-51.1,259.32,1.34
Bainbridge,91,US,1603843339,83,47.63,-122.52,287.04,1.39
Taksimo,34,RU,1603843427,86,56.34,114.88,261.5,0.47
Sorong,100,ID,1603843189,79,-0.88,131.25,300.66,3.04
Bambous virieux,4,MU,1603843428,80,-20.34,57.76,294.26,0.89
Massakory,81,TD,1603843428,16,13,15.73,301.11,4.84
Kodiak,40,US,1603843136,68,57.79,-152.41,281.15,3.1
Mashhad,0,IR,1603843428,60,36.3,59.61,282.15,3.1
Cape canaveral,21,US,1603843170,86,28.41,-80.6,300.37,1.79
North bend,1,US,1603843227,67,43.41,-124.22,287.15,8.2
Pundaguitan,100,PH,1603843429,81,6.37,126.17,300.38,6.11
Taltal,17,CL,1603843232,76,-25.4,-70.48,287.82,2.13
Alice springs,0,AU,1603842910,14,-23.7,133.88,297.15,3.1
Lavrentiya,100,RU,1603843161,91,65.58,-171,272.34,4.41
Araceli,46,PH,1603843429,77,10.55,119.99,301.95,5.5
Prince rupert,90,CA,1603843208,93,54.32,-130.32,282.15,1
Chemal,94,RU,1603843430,69,51.41,86,277.25,1.21
Iquique,0,CL,1603843259,68,-20.22,-70.14,291.15,6.2
Okakarara,76,NA,1603843430,33,-20.58,17.43,293.83,3.44
Luancheng,0,CN,1603843157,75,37.88,114.65,278.15,1
Acarau,70,BR,1603843431,82,-2.89,-40.12,298.84,5.57
Faya,0,SA,1603843431,26,18.39,42.45,286.15,2.29
Zwedru,95,LR,1603843431,96,6.07,-8.13,295.89,0.66
Lata,100,PT,1603843135,95,40.16,-8.33,289.26,2.24
Rodionovo-nesvetayskaya,20,RU,1603843431,66,47.61,39.71,282.15,11
Port elizabeth,0,ZA,1603843167,88,-33.92,25.57,290.15,9.3
Eenhana,91,NA,1603843432,16,-17.47,16.33,302.15,3.1
Guane,100,CU,1603843432,88,22.2,-84.09,299.19,3.94
Chernenko,0,RU,1603843432,49,44.37,39.31,287.68,1.5
Guthrie,90,US,1603843433,98,35.88,-97.43,273.15,3.6
Ancud,90,CL,1603843178,93,-41.87,-73.82,282.04,6.7
Guabito,0,PA,1603843433,83,9.5,-82.62,301.15,1
Garden city,90,US,1603843265,86,42.33,-83.33,278.15,1.29
Mirnyy,96,RU,1603843434,95,62.54,113.96,263.43,2.1
Rocha,100,UY,1603843226,88,-34.48,-54.33,287.5,4.89
Vangaindrano,26,MG,1603843434,89,-23.35,47.6,294.55,0.73
Hamilton,90,US,1603843435,87,39.18,-84.53,283.71,1.78
Iranshahr,0,IR,1603843435,32,27.2,60.68,286.55,0.79
Sao francisco,66,BR,1603843388,65,-15.95,-44.86,299.39,0.8
Auki,57,SB,1603843180,63,-8.77,160.7,303.87,1.49
Zhigansk,85,RU,1603843138,91,66.77,123.37,251.48,1.52
East london,35,ZA,1603843157,80,-33.02,27.91,293.59,7.44
Puerto escondido,90,MX,1603843200,69,15.85,-97.07,299.15,1.5
Mitu,57,CO,1603843435,93,1.2,-70.17,297.1,1.05
Mount gambier,18,AU,1603843148,67,-37.83,140.77,288.15,3.6
Chuy,100,UY,1603842870,95,-33.7,-53.46,289.9,6.36
Beringovskiy,83,RU,1603842876,93,63.05,179.32,270.74,5.42
Vostok,97,RU,1603843170,91,46.49,135.88,274.3,0.67
Narsaq,100,GL,1603843150,97,60.92,-46.05,271.89,1.34
Vardo,75,NO,1603843136,100,70.37,31.11,275.15,3.6
Poum,74,NC,1603843436,73,-20.23,164.02,298.3,5.86
Margate,15,GB,1603843248,82,51.38,1.39,283.71,8.77
Bethel,90,US,1603843160,57,41.37,-73.41,284.15,1.5
Ust-kuyga,97,RU,1603843437,93,70.02,135.6,258.78,1.88
Gedo,0,ET,1603843438,54,9.02,37.45,281.24,1.27
Lowestoft,31,GB,1603843418,99,52.48,1.75,281.48,0.89
Elizabeth city,81,US,1603843292,94,36.29,-76.25,291.48,2.07
Kruisfontein,29,ZA,1603843193,95,-34,24.73,288.15,3.83
Broome,90,US,1603843191,75,42.25,-75.83,281.48,2.09
Nome,90,US,1603843153,86,64.5,-165.41,274.26,2.1
Grand gaube,0,MU,1603843439,80,-20.01,57.66,294.26,0.89
Pakdasht,0,IR,1603843439,34,35.48,51.68,290.15,2.1
Berdigestyakh,100,RU,1603843439,91,62.1,126.7,258.65,2.13
Jardim,0,BR,1603842902,56,-21.48,-56.14,295.27,1.23
Carnarvon,0,AU,1603843222,73,-24.87,113.63,294.15,10.8
Santarem,0,BR,1603843440,94,-2.44,-54.71,299.15,1.12
Necochea,56,AR,1603843186,80,-38.55,-58.74,287.59,2.68
Vao,88,NC,1603843147,82,-22.67,167.48,296.04,8.43
Gamba,100,GA,1603843440,89,-2.65,10,297.81,3.06
San jose,1,US,1603843440,11,37.34,-121.89,299.15,8.2
Qui nhon,100,VN,1603843234,84,13.77,109.23,297.3,23.86
Fairlie,49,GB,1603843440,85,55.76,-4.86,282.04,3.13
Saskylakh,99,RU,1603843129,92,71.92,114.08,258.64,5.26
Kalmunai,44,LK,1603843441,83,7.42,81.82,298.92,3.06
Pimentel,77,PE,1603843441,86,-6.84,-79.93,290.52,5.82
Reguengos de monsaraz,40,PT,1603843441,87,38.43,-7.53,287.04,1.5
Lakselv,100,NO,1603843442,89,70.05,24.97,273.15,6.7
Mount isa,0,AU,1603843163,11,-20.73,139.5,300.15,6.2
Grootfontein,72,NA,1603843442,29,-19.57,18.12,291.69,0.97
Guerrero negro,0,MX,1603843442,23,27.98,-114.06,294.53,10.23
Honningsvag,100,NO,1603843442,71,70.98,25.97,277.69,2.67
Chibombo,0,ZM,1603843442,37,-14.66,28.07,294.54,3.32
Dembi dolo,0,ET,1603843443,91,8.53,34.8,286.43,2.06
Port lincoln,0,AU,1603843443,62,-34.73,135.87,289.98,3.24
Tuatapere,10,NZ,1603843173,64,-46.13,167.68,287.59,1.79
Pryazha,100,RU,1603843443,87,61.69,33.62,284.15,4
Mwinilunga,36,ZM,1603843443,86,-11.74,24.43,290.85,0.42
Kita,100,ML,1603843328,27,13.03,-9.49,296.33,0.85
Salalah,20,OM,1603843180,69,17.02,54.09,298.15,1
Brekstad,0,NO,1603843372,93,63.69,9.67,280.37,3.6
Vallenar,0,CL,1603843444,64,-28.57,-70.76,287.66,1.09
Inirida,98,CO,1603843444,93,3.87,-67.92,298.36,1.59
Ponta do sol,40,PT,1603843165,68,32.67,-17.1,292.15,2.1
Olafsvik,96,IS,1603843444,71,64.89,-23.71,277.1,8.04
Cayenne,0,GF,1603843144,78,4.93,-52.33,301.15,2.1
Yelanskiy,42,RU,1603843445,96,56.84,62.5,268.23,3.26
Wukari,0,NG,1603843445,66,7.85,9.78,297.83,1.48
Ribeira grande,99,PT,1603843150,61,38.52,-28.7,290.42,1.94
Marsh harbour,0,BS,1603843152,80,26.54,-77.06,300.52,5.45
Hovd,49,MN,1603843184,76,48.01,91.64,271.7,0.73
Whitehorse,75,CA,1603843446,87,60.72,-135.05,273.15,1
Port said,0,EG,1603843446,83,31.26,32.28,297.15,3.1
Shimoda,40,JP,1603843180,72,34.67,138.95,291.15,4.1
San patricio,90,US,1603843446,82,28.02,-97.52,286.15,6.2
Provideniya,90,RU,1603843150,95,64.38,-173.3,273.15,5
Oranjestad,20,AW,1603843046,79,12.52,-70.03,302.15,5.1
Hilo,90,US,1603843134,78,19.73,-155.09,300.15,4.17
Monrovia,75,LR,1603843447,94,6.3,-10.8,299.15,4.26
Padang,83,ID,1603843049,71,-0.95,100.35,299.32,1.75
Merritt,90,CA,1603843447,62,50.11,-120.79,284.15,10.8
Manasa,0,IN,1603843447,26,24.48,75.27,292.61,1.99
Ostrovnoy,100,RU,1603843152,91,68.05,39.51,279.77,9.88
Raudeberg,89,NO,1603843448,79,61.99,5.14,280.93,5.14
Hunfeld,76,DE,1603843448,82,50.68,9.77,282.59,2.24
Lenger,0,KZ,1603843222,63,42.18,69.88,272.15,1.49
Voyvozh,100,RU,1603843449,98,62.89,54.96,273.81,3.35
Vygonichi,2,RU,1603843449,80,53.1,34.07,279.63,3.45
Jalingo,0,NG,1603843449,50,8.88,11.37,297.57,1.21
Meulaboh,59,ID,1603843144,87,4.14,96.13,297.37,1.9
Buala,35,SB,1603843450,69,-8.14,159.59,303.14,2.72
Cockburn town,7,TC,1603843165,80,21.46,-71.14,301.09,9.23
Diamantino,92,BR,1603843153,80,-14.41,-56.45,298.87,1.1
Manicore,98,BR,1603843450,88,-5.81,-61.3,297.46,1.28
Vanimo,91,PG,1603843450,66,-2.67,141.3,302.89,1
Ixtapa,40,MX,1603843363,74,20.7,-105.2,303.15,4.6
Przhevalskoye,9,RU,1603843451,85,55.51,31.85,280.24,4.02
Hasaki,75,JP,1603842892,87,35.73,140.83,289.26,2.1
Sitka,90,US,1603843451,81,57.05,-135.33,281.15,3.1
Fairbanks,75,US,1603843200,86,64.84,-147.72,271.48,2.1
Zaysan,91,KZ,1603843451,44,47.47,84.87,282.56,2.52
Aklavik,90,CA,1603843068,85,68.22,-135.01,262.15,2.35
Zyryanka,26,RU,1603843451,92,65.75,150.85,261.36,2.59
Port blair,85,IN,1603843178,79,11.67,92.75,299.58,1.4
Beian,0,NO,1603843452,93,63.66,9.57,278.15,3.6
Dekar,49,BW,1603843452,27,-21.53,21.93,296.48,5.27
Camacha,75,PT,1603843161,68,33.08,-16.33,292.15,3.2
Quelimane,20,MZ,1603843452,88,-17.88,36.89,298.15,1.5
Alamogordo,90,US,1603843172,86,32.9,-105.96,272.59,1.95
Glinka,13,RU,1603843453,82,54.64,32.88,279.51,4.16
Yuci,100,CN,1603843453,66,37.68,112.73,280.15,1
Sabya,0,SA,1603843453,62,17.15,42.63,302.15,2.6
Jiayuguan,52,CN,1603843453,78,39.82,98.3,275.03,2.51
Urumqi,0,CN,1603843454,51,43.8,87.6,276.15,2
Torbay,90,CA,1603843140,100,47.67,-52.73,277.15,5.7
Heiligenhafen,91,DE,1603843454,76,54.37,10.98,284.26,6.7
Nortelandia,84,BR,1603843454,87,-14.45,-56.8,298.09,1.72
Miandrivazo,1,MG,1603843455,54,-19.52,45.47,299.13,0.95
Nordborg,96,DK,1603843455,90,55.06,9.74,282.04,3.58
Longyearbyen,75,SJ,1603843163,94,78.22,15.64,273.15,2.1
Tiznit,12,MA,1603843456,63,29.58,-9.5,289.84,0.25
Manzhouli,0,CN,1603843456,82,49.6,117.43,268.79,4.42
Kaspiyskiy,0,RU,1603843456,75,45.39,47.37,282.85,8.67
Gaeta,2,IT,1603843456,81,41.22,13.56,285.93,0.45
Huilong,99,CN,1603843196,83,31.81,121.66,292.59,3
High rock,20,BS,1603843457,88,26.62,-78.28,300.15,1.5
Roebourne,64,AU,1603843457,70,-20.78,117.13,297.66,3.31
Aras,0,ES,1603843457,93,42.56,-2.36,284.26,0.5
Ilinskiy,91,RU,1603843457,100,55.62,38.12,280.93,3
Moussoro,36,TD,1603843172,17,13.64,16.49,301.17,4.85
Wagrowiec,56,PL,1603843458,88,52.81,17.2,280.37,2.24
Shakawe,7,BW,1603843458,27,-18.37,21.85,296.08,2.99
Goderich,100,CA,1603843174,79,43.75,-81.72,279.26,4.82
Kaura namoda,3,NG,1603843458,26,12.59,6.58,297.26,1.52
Avera,90,US,1603843458,83,33.19,-82.53,297.15,2.6
Port hardy,90,CA,1603842945,93,50.7,-127.42,282.15,2.6
Atar,0,MR,1603843178,20,20.52,-13.05,302.04,4.46
Zhanaozen,0,KZ,1603843459,73,43.3,52.8,274.53,5.66
Richards bay,70,ZA,1603842952,79,-28.78,32.04,295.95,7.14
Chornyanka,0,UA,1603843460,78,46.65,33.36,284.92,4.34
Ternate,28,ID,1603843460,72,0.8,127.4,301.58,0.48
Hualmay,87,PE,1603843198,85,-11.1,-77.61,290.8,3.11
Karabulak,63,RU,1603843460,93,43.3,44.9,284.15,2
Darfield,5,GB,1603843461,88,53.53,-1.38,280.37,2.24
Srednekolymsk,99,RU,1603843156,89,67.45,153.68,263.89,2.89
Tateyama,40,JP,1603843177,72,34.98,139.87,291.48,4.1
Trairi,98,BR,1603843198,80,-3.28,-39.27,299.05,4.08
Havelock,40,US,1603843461,88,34.88,-76.9,293.15,2.6
Kawhia,99,NZ,1603843461,62,-38.07,174.82,293.15,1.79
Ketchikan,75,US,1603843013,100,55.34,-131.65,282.15,2.1
Plainview,1,US,1603843353,62,40.78,-73.47,287.15,1.5
Yulara,0,AU,1603843273,17,-25.24,130.99,297.15,3.1
Hobyo,10,SO,1603843462,81,5.35,48.53,299.19,3.68
Santa marinella,0,IT,1603843462,87,42.03,11.85,282.04,4.63
Namasuba,34,UG,1603843463,99,0.69,32.42,289.64,0.27
Haines junction,48,CA,1603843155,93,60.75,-137.51,272.48,1.17
Saint-joseph,0,RE,1603843463,64,-21.37,55.62,295.15,1.5
Victoria,96,HK,1603842904,73,22.29,114.16,298.15,9.19
Lynn haven,61,US,1603843463,93,30.25,-85.65,299.26,1.34
Erice,40,IT,1603843464,63,38.04,12.59,291.15,2.1
Coahuayana,75,MX,1603843047,78,18.73,-103.68,300.15,5.1
Cabedelo,20,BR,1603843231,78,-6.98,-34.83,299.15,4.1
Morant bay,20,JM,1603843434,83,17.88,-76.41,302.15,2.6
Luanda,40,AO,1603843019,94,-8.84,13.23,297.15,3.1
Cap malheureux,0,MU,1603843160,80,-19.98,57.61,294.26,0.89
Inhambane,57,MZ,1603843177,90,-23.86,35.38,295.43,3.49
Kuminskiy,80,RU,1603843465,96,58.67,66.57,265.79,3.13
Vilcun,75,CL,1603843465,87,-38.65,-72.23,283.15,3.6
Pinsk,28,BY,1603843259,93,52.12,26.1,282.67,2.92
Stromness,100,GB,1603843465,87,58.97,-3.3,281.15,4.1
Lapua,100,FI,1603843466,95,62.97,23.01,281.48,1.79
Mazamari,90,PE,1603843466,79,-11.33,-74.53,296.54,0.93
Kailua,40,US,1603843466,69,21.4,-157.74,300.15,2.07
Sligo,96,IE,1603843466,91,54.27,-8.47,280.37,3.13
Vila franca do campo,75,PT,1603843141,59,37.72,-25.43,291.15,2.6
High level,75,CA,1603843122,92,58.52,-117.14,271.15,3.1
General roca,0,AR,1603843466,25,-39.03,-67.58,290.15,5.7
Wasilla,90,US,1603843467,86,61.58,-149.44,275.37,1.5
Idenao,97,CM,1603843467,83,4.25,9,298.15,0.17
Tevaitoa,76,PF,1603843467,81,-16.78,-151.5,299.98,8.41
Gorontalo,100,ID,1603843178,59,0.54,123.06,302.5,1.02
Naron,20,ES,1603843467,87,43.52,-8.15,288.71,2.1
Palmer,100,US,1603843215,87,42.16,-72.33,283.15,1.66
Belmonte,40,BR,1603843181,78,-15.86,-38.88,299.15,4.1
Concordia,0,AR,1603843468,52,-31.39,-58.02,291.48,0.89
Bathsheba,20,BB,1603843138,83,13.22,-59.52,300.15,6.7
Rincon,75,US,1603843468,83,32.3,-81.24,297.15,4.6
Los llanos de aridane,90,ES,1603843152,68,28.66,-17.92,294.15,4.6
Trapani,40,IT,1603843468,63,37.83,12.67,291.15,2.1
Tiarei,75,PF,1603843187,78,-17.53,-149.33,301.15,8.7
Saint anthony,67,US,1603843469,65,45.02,-93.22,273.15,2.24
Fuyang,94,CN,1603843469,61,32.9,115.82,289.58,4.64
Nokia,75,FI,1603843469,93,61.47,23.5,282.15,3.6
